TIME,CH1,CH2,FREQ
0.2811600000000001,0.034,0.056400000000000006,456774306079452.312500
0.28117000000000003,0.0332,0.058,456774306079452.312500
0.2811800000000001,0.034,0.056400000000000006,456774306079452.312500
0.28119000000000005,0.0332,0.0572,456774306079452.312500
0.2812000000000001,0.034,0.056400000000000006,456774306079452.312500
0.28121000000000007,0.0316,0.058800000000000005,456774306079452.312500
0.28122,0.034,0.0572,456774306079452.312500
0.2812300000000001,0.034800000000000005,0.0596,456774306079452.312500
0.28124000000000005,0.0356,0.058800000000000005,456774306079452.312500
0.2812500000000001,0.0332,0.0596,456774306079452.312500
0.28126000000000007,0.034,0.058,456774306079452.312500
0.28127,0.034,0.058800000000000005,456774306079452.312500
0.2812800000000001,0.034800000000000005,0.050800000000000005,456774306079452.312500
0.28129000000000004,0.0332,0.048400000000000006,456774306079452.312500
0.2813000000000001,0.0356,0.053200000000000004,456774306079452.312500
0.28131000000000006,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.28132,0.038,0.055600000000000004,456774306079452.312500
0.2813300000000001,0.0292,0.058,456774306079452.312500
0.28134000000000003,0.0364,0.056400000000000006,456774306079452.312500
0.2813500000000001,0.034,0.0572,456774306079452.312500
0.28136000000000005,0.0324,0.058,456774306079452.312500
0.28137,0.034800000000000005,0.0604,456774306079452.312500
0.2813800000000001,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.28139000000000003,0.0316,0.058,456774306079452.312500
0.2814000000000001,0.034800000000000005,0.0596,456774306079452.312500
0.28141000000000005,0.0356,0.058,456774306079452.312500
0.2814200000000001,0.034,0.058800000000000005,456774306079452.312500
0.28143000000000007,0.0364,0.058,456774306079452.312500
0.28144,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.2814500000000001,0.034800000000000005,0.0596,456774306079452.312500
0.28146000000000004,0.0332,0.0516,456774306079452.312500
0.2814700000000001,0.0308,0.0604,456774306079452.312500
0.28148000000000006,0.0308,0.058,456774306079452.312500
0.28149,0.0324,0.058,456774306079452.312500
0.2815000000000001,0.0356,0.058,456774306079452.312500
0.28151000000000004,0.0356,0.0572,456774306079452.312500
0.2815200000000001,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.28153000000000006,0.034800000000000005,0.056400000000000006,456774306079452.312500
0.28154,0.034,0.055600000000000004,456774306079452.312500
0.2815500000000001,0.034800000000000005,0.0572,456774306079452.312500
0.28156000000000003,0.0356,0.058,456774306079452.312500
0.2815700000000001,0.034,0.056400000000000006,456774306079452.312500
0.28158000000000005,0.0356,0.056400000000000006,456774306079452.312500
0.2815900000000001,0.0332,0.0524,456774306079452.312500
0.2816000000000001,0.0356,0.055600000000000004,456774306079452.312500
0.28161,0.034,0.0572,456774306079452.312500
0.2816200000000001,0.034,0.058,456774306079452.312500
0.28163000000000005,0.0316,0.0572,456774306079452.312500
0.2816400000000001,0.0324,0.0596,456774306079452.312500
0.28165000000000007,0.038,0.058,456774306079452.312500
0.28166,0.034,0.058,456774306079452.312500
0.2816700000000001,0.0356,0.058,456774306079452.312500
0.28168000000000004,0.034800000000000005,0.058,456774306079452.312500
0.2816900000000001,0.034800000000000005,0.058,456774306079452.312500
0.28170000000000006,0.0356,0.055600000000000004,456774306079452.312500
0.28171,0.0356,0.0596,456774306079452.312500
0.2817200000000001,0.034,0.0548,456774306079452.312500
0.28173000000000004,0.0244,0.0548,456774306079452.312500
0.2817400000000001,0.0244,0.0524,456774306079452.312500
0.28175000000000006,0.027600000000000003,0.0524,456774306079452.312500
0.28176,0.0284,0.0596,456774306079452.312500
0.2817700000000001,0.034,0.058,456774306079452.312500
0.28178000000000003,0.034,0.0548,456774306079452.312500
0.2817900000000001,0.0324,0.0516,456774306079452.312500
0.28180000000000005,0.030000000000000002,0.055600000000000004,456774306079452.312500
0.2818100000000001,0.0316,0.0476,456774306079452.312500
0.28182000000000007,0.0324,0.050800000000000005,456774306079452.312500
0.28183,0.034800000000000005,0.053200000000000004,456774306079452.312500
0.2818400000000001,0.0308,0.058,456774306079452.312500
